номер тиража;выигрышная комбинация;;;;;вариантов;5 номеров;;4 номера;;3 номера;
;;;;;;;кол-во;сумма;кол-во;сумма;кол-во;сумма
1;3;4;15;27;36;1 704 418;13;9 619;2 606;59;46 972;5
2;5;22;25;28;32;2 069 485;2;10 000;1 222;171;43 513;9
3;7;10;16;17;19;2 597 691;16;9 908;2 405;97;77 551;5
4;9;11;12;16;25;2 849 365;1;10 000;1 855;161;68 189;8
5;7;20;23;27;28;2 935 637;17;10 000;2 426;119;70 187;6
7;3;31;32;34;35;3 049 531;23;8 037;3 640;86;59 598;7
8;1;20;24;27;36;3 151 068;5;10 000;2 100;147;65 039;9
9;12;27;31;32;36;2 720 498;1;10 000;995;292;46 921;11
10;2;3;15;22;24;2 554 452;16;9 588;1 748;141;60 131;6
11;4;25;27;30;36;2 668 967;5;10 000;1 586;162;61 739;8
12;2;18;20;23;30;2 886 087;5;10 000;1 571;171;60 745;9
14;11;15;17;23;32;2 633 736;5;10 000;2 155;138;74 109;6
15;11;12;15;20;33;2 845 503;4;10 000;1 803;157;58 915;9
16;3;15;21;25;27;2 917 645;12;10 000;7 292;45;85 350;5
17;8;14;21;27;30;2 785 588;24;6 973;2 642;115;72 648;5
18;3;6;25;29;32;2 501 127;11;10 000;1 312;182;50 414;8
19;7;9;21;32;33;2 421 836;9;10 000;1 672;156;62 586;6
21;1;7;21;32;34;2 506 698;12;10 000;1 456;185;51 847;7
23;5;6;15;28;34;2 236 106;8;10 000;1 697;121;54 894;7
24;1;2;10;18;24;2 337 555;1;10 000;1 043;208;43 227;11
25;14;24;28;33;35;2 373 152;3;10 000;1 202;214;47 161;9
26;17;22;23;25;29;2 619 518;8;10 000;1 693;170;69 507;6
27;6;10;16;21;27;2 070 751;27;6 899;2 127;87;62 810;4
28;1;3;8;25;26;2 172 260;13;10 000;1 105;182;39 959;8
29;6;13;21;29;36;2 186 478;34;3 915;2 842;69;65 526;5
30;18;21;28;32;34;2 166 940;6;10 000;1 311;159;47 624;8
31;14;20;34;35;36;2 060 903;5;10 000;851;225;34 302;11
32;3;5;16;17;25;2 001 288;11;10 000;1 580;146;51 846;5
33;8;14;21;29;33;2 225 415;26;5 178;3 289;77;70 087;4
34;5;11;23;25;30;2 175 682;20;6 560;2 032;103;62 440;5
35;3;9;10;26;32;2 161 781;15;8 774;1 939;104;52 546;6
36;18;21;28;30;31;2 051 947;4;10 000;1 386;133;48 814;8
38;1;10;16;17;27;2 130 808;10;10 000;1 734;142;58 502;5
39;6;15;26;30;33;2 562 033;43;3 622;2 409;118;66 009;5
40;1;2;20;28;31;2 164 297;6;10 000;1 143;191;41 107;9
41;7;18;27;33;36;1 997 973;10;10 000;1 569;119;52 223;6
42;2;7;11;12;33;2 366 882;4;10 000;1 030;211;41 157;11
43;10;11;12;21;25;2 317 478;7;10 000;1 447;155;50 147;8
44;3;22;23;25;28;2 394 790;2;10 000;1 436;173;56 216;8
45;1;9;25;28;31;2 257 925;6;10 000;1 100;221;41 550;9
46;21;23;28;29;31;2 200 847;4;10 000;1 236;191;48 002;8
47;6;7;23;27;31;2 516 796;8;10 000;1 873;121;56 117;8
48;3;5;14;18;33;2 607 398;10;10 000;2 048;123;61 255;7
49;2;14;18;28;32;2 526 556;24;6 382;2 046;135;55 091;6
50;1;5;10;18;19;2 823 820;11;10 000;1 546;176;58 119;8
51;4;15;20;30;36;2 887 758;50;3 535;4 034;76;95 769;4
52;9;13;14;20;31;4 286 997;13;10 000;2 830;162;87 117;8
