номер тиража;выигрышная комбинация;;;;;вариантов;5 номеров;;4 номера;;3 номера;
;;;;;;;кол-во;сумма;кол-во;сумма;кол-во;сумма
1;32;22;30;7;33;2 880 883;27;6 499;3 212;86;82 515;5
2;10;5;18;31;12;4 325 872;89;2 954;4 230;109;95 627;6
3;11;12;18;6;13;5 012 545;47;6 476;6 881;66;149 054;5
4;20;17;36;31;4;5 098 850;16;10 000;3 423;156;104 226;8
5;30;31;16;5;26;5 000 312;22;10 000;3 821;126;113 848;7
6;6;12;9;14;19;4 951 046;38;7 883;5 302;98;133 949;5
7;32;8;6;26;3;5 513 043;38;8 819;4 778;106;135 389;6
8;35;5;32;25;3;5 498 474;29;10 000;3 966;130;120 442;7
9;6;12;26;3;15;5 337 268;38;8 473;2 475;194;89 990;9
10;2;26;17;9;35;5 291 954;32;9 997;4 150;122;126 896;6
11;35;8;25;17;2;5 496 588;12;10 000;2 854;191;109 141;9
12;34;24;29;9;11;5 470 126;14;10 000;3 291;171;104 075;9
13;17;18;23;28;36;6 509 925;21;10 000;7 205;91;180 562;6
14;20;18;26;5;19;4 906 685;34;8 829;6 580;86;153 268;4
15;21;7;16;11;36;5 316 504;14;10 000;3 056;165;105 539;9
16;36;17;13;18;29;5 092 570;73;4 233;7 352;77;163 370;4
17;2;31;29;17;12;4 973 324;45;6 749;5 454;91;138 406;5
18;10;14;6;24;5;3 688 258;58;3 815;9 856;33;195 579;3
19;8;5;16;27;4;3 772 670;16;10 000;1 442;258;66 573;9
21;9;31;7;28;22;4 239 763;29;8 836;2 812;148;185 999;3
22;24;12;9;13;16;4 079 423;12;10 000;2 042;191;79 196;9
23;23;11;9;6;17;3 947 297;7;10 000;1 187;323;56 237;13
24;22;15;17;33;28;4 377 638;21;10 000;5 289;79;136 845;5
25;34;5;26;10;31;4 553 678;30;9 228;4 949;87;132 136;5
26;11;35;9;32;5;5 133 123;15;10 000;3 488;136;114 201;8
27;31;24;8;6;18;4 181 295;18;10 000;3 143;139;91 325;7
28;26;28;20;16;8;7 481 194;88;5 803;7 315;110;202 985;6
29;19;15;17;22;33;4 800 143;29;10 000;6 100;70;144 577;5
30;11;13;23;31;36;4 842 810;22;10 000;3 369;158;116 467;6
31;15;16;3;22;26;4 540 906;30;9 130;4 129;107;199 576;3
32;17;20;36;28;4;4 371 492;66;4 009;5 488;93;134 108;4
33;1;17;2;18;22;4 734 626;9;10 000;3 418;141;121 045;7
34;28;18;5;19;8;4 433 853;7;10 000;2 280;183;84 355;10
35;18;29;30;17;15;4 442 151;53;5 036;6 414;74;147 905;4
36;20;27;25;32;6;4 380 181;14;10 000;3 134;152;99 525;7
37;18;24;32;35;2;4 617 937;11;10 000;2 736;188;108 834;7
38;31;14;4;3;16;4 763 738;67;;7 530;62;167 357;4
39;1;9;27;16;15;5 601 292;21;10 000;2 603;214;101 464;10
40;2;15;11;28;3;4 739 089;17;10 000;2 616;191;107 316;7
41;19;33;17;34;1;4 579 758;15;10 000;3 644;134;122 329;6
42;33;22;20;5;35;5 482 609;25;10 000;4 310;140;132 246;6
43;13;36;29;9;4;5 415 815;56;5 833;6 296;87;150 180;5
44;19;14;3;13;27;5 309 279;53;6 068;6 032;100;167 002;4
45;34;2;21;27;15;4 603 700;13;10 000;2 755;167;98 693;8
46;17;10;28;36;19;5 433 513;19;10 000;4 391;134;142 072;6
47;32;26;27;25;9;5 599 625;10;10 000;2 977;205;121 242;8
48;21;23;26;29;5;5 825 037;34;10 000;5 353;104;141 752;6
49;8;18;5;27;26;5 630 641;75;4 547;8 480;64;201 386;4
5o;32;8;36;27;26;6 869 453;28;10 000;5 777;112;188 426;6
51;3;10;17;34;18;6 707 881;17;10 000;3 087;225;114 881;10
