номер тиража;выигрышная комбинация;;;;;вариантов;5 номеров;;4 номера;;3 номера;
;;;;;;;кол-во;сумма;кол-во;сумма;кол-во;сумма
1;2;18;28;30;31;13 121 404;14;10 000;4 218;156;145 841;8
2;3;15;23;26;27;13 925 664;69;6 097;13 755;57;294 699;3
3;12;13;24;28;36;17 481 898;23;10 000;4 780;174;173 366;9
4;1;6;9;11;18;17 730 000;43;10 000;7 124;116;233 661;6
5;5;10;11;15;18;17 584 356;43;10 000;7 289;113;275 833;5
6;18;22;25;28;32;17 108 071;28;10 000;3 781;208;149 890;10
7;15;17;19;23;33;18 155 599;84;6 584;11 505;87;292 325;4
8;15;17;20;32;36;19 560 809;20;10 000;4 532;234;185 871;9
9;5;12;16;22;33;18 542 147;54;10 000;7 735;113;226 710;6
10;10;18;21;22;23;19 013 532;23;10 000;6 828;125;252 404;7
11;8;11;18;19;29;16 143 342;53;9 296;8 743;103;257 059;4
12;1;6;18;34;36;20 346 083;36;10 000;3 909;255;169 282;10
13;14;18;19;23;33;19 819 477;30;10 000;5 804;166;213 674;8
14;4;14;15;32;34;18 068 925;49;10 000;7 404;126;214 172;6
15;3;4;6;7;21;17 798 709;19;10 000;5 050;196;212 747;7
16;2;11;21;33;34;17 754 521;32;10 000;6 646;146;195 875;7
17;2;8;20;30;36;17 783 999;43;10 000;4 683;187;169 943;8
18;10;11;12;14;24;17 378 586;10;10 000;4 837;179;182 200;9
19;2;5;26;27;36;14 258 870;20;10 000;4 027;172;155 747;8
20;3;15;17;21;33;15 362 562;137;3 459;20 197;38;354 298;3
21;18;23;24;29;33;17 001 748;17;10 000;4 099;229;180 068;8
22;16;22;24;29;30;16 148 315;28;10 000;4 748;178;162 075;8
24;9;19;28;30;32;14 547 385;23;10 000;7 352;106;194 935;6
25;9;10;23;28;31;15 041 317;20;10 000;4 880;171;173 995;7
26;11;14;18;23;24;15 050 015;41;10 000;6 932;99;231 394;5
27;3;10;15;16;24;14 317 816;35;10 000;6 193;128;200 698;5
28;3;5;12;16;30;13 532 653;22;10 000;5 011;145;154 540;7
30;8;12;19;28;32;14 462 553;65;6 739;5 693;116;152 985;7
31;1;6;7;20;21;14 117 530;85;5 009;8 445;99;213 939;4
32;4;12;15;23;26;13 284 896;278;1 445;10 663;58;194 481;5
33;7;19;20;32;36;18 200 158;31;10 000;5 263;180;138 836;12
34;2;5;13;20;32;14 061 122;25;10 000;4 085;164;148 471;8
35;4;6;7;15;27;13 886 215;70;6 040;8 678;90;219 778;4
36;10;11;13;27;30;13 821 180;34;10 000;4 871;133;155 024;7
37;4;8;11;18;31;13 943 124;22;10 000;6 028;119;192 171;6
38;6;17;18;21;23;15 312 887;53;8 722;7 862;107;248 357;4
39;4;8;11;13;28;15 326 525;46;10 000;7 190;104;217 121;5
40;8;10;13;28;30;15 320 711;30;10 000;5 700;134;175 700;7
41;3;7;13;20;25;14 407 580;47;9 208;6 394;122;189 651;5
42;8;9;24;28;32;16 105 844;18;10 000;5 585;159;192 173;7
43;8;9;15;19;35;16 308 659;28;10 000;4 701;172;193 548;7
44;1;9;10;23;34;16 302 960;28;10 000;5 494;136;177 036;8
45;3;5;6;29;36;15 841 859;34;10 000;6 960;118;202 152;6
46;7;8;19;28;30;13 133 749;41;9 619;6 150;109;181 059;5
47;3;14;18;27;32;17 194 717;123;4 203;9 537;86;248 392;5
48;1;4;17;24;36;22 881 196;42;10 000;7 661;150;257 079;8
49;14;24;25;30;32;17 048 214;9;10 000;2 356;353;108 920;15
50;5;8;11;26;36;16 947 721;47;10 000;8 477;101;241 882;5
51;3;12;22;24;31;17 964 743;60;9 037;8 164;124;228 024;5
52;1;21;27;30;35;25 484 107;33;10 000;6 205;210;253 709;9
49;4;6;7;15;22;14 579 345;19;10 000;4 826;142;163 911;8
50;1;4;13;14;26;23 797 381;41;10 000;6 929;173;245 245;9
51;2;6;15;28;31;16 964 824;131;3 927;10 302;85;230 902;5
52;9;17;22;23;27;19 267 365;78;7 442;13 061;93;364 966;3
