номер тиража;выигрышная комбинация;;;;;вариантов;5 номеров;;4 номера;;3 номера;
;;;;;;;кол-во;сумма;кол-во;сумма;кол-во;сумма
1;3;18;19;27;28;18 476 314;39;10 000;7 574;133;273 598;5
2;10;12;14;26;28;14 651 510;61;7 244;5 446;124;154 359;7
3;4;8;19;27;31;18 784 352;89;6 434;10 920;89;254 623;5
4;11;18;27;31;33;20 148 130;26;10 000;6 230;151;227 638;8
5;12;19;21;25;36;20 467 675;23;10 000;5 600;167;190 175;10
6;1;14;24;26;29;20 244 502;27;10 000;5 784;167;199 835;9
7;4;11;19;27;33;20 718 217;248;2 516;16 898;64;350 516;4
8;5;6;12;18;36;22 442 094;89;7 577;14 068;79;316 112;5
9;3;13;17;29;33;22 156 629;231;2 928;17 337;67;371 383;4
10;6;9;14;18;29;21 660 260;62;10 000;9 463;131;276 870;5
11;3;10;26;30;31;22 003 194;43;10 000;8 235;155;251 887;7
12;1;2;15;19;29;21 440 424;23;10 000;7 603;128;286 868;7
13;5;14;19;25;30;21 415 244;54;10 000;7 129;155;222 942;7
14;6;9;25;26;32;19 486 957;30;10 000;4 813;203;182 758;9
15;13;22;24;26;34;19 169 202;28;10 000;5 562;163;187 163;9
16;13;23;25;32;33;19 628 212;17;10 000;4 227;217;168 496;11
17;9;10;21;28;29;19 211 551;50;10 000;7 781;113;300 289;5
18;8;16;31;33;34;18 988 917;13;10 000;4 261;240;188 011;9
19;11;13;14;15;21;14 420 958;8;10 000;4 057;182;167 828;8
20;2;3;15;19;22;18 346 586;31;10 000;6 681;140;240 196;7
21;2;7;13;19;34;17 785 356;23;10 000;6 167;132;180 137;9
22;5;13;17;29;30;16 667 444;52;9 683;8 421;117;252 825;4
23;6;8;10;17;24;15 479 894;68;6 914;6 813;118;209 578;5
24;1;12;22;31;32;14 909 609;29;10 000;4 957;150;150 264;8
25;16;18;20;22;32;15 172 512;13;10 000;4 469;158;159 658;9
26;2;12;21;28;32;14 791 221;40;10 000;5 764;122;159 217;7
27;5;30;31;33;34;13 975 363;6;10 000;2 083;326;96 826;14
28;5;12;16;21;35;13 532 720;41;9 958;5 987;106;164 495;6
29;4;10;18;33;34;14 117 515;23;10 000;4 787;146;169 264;7
30;6;7;27;28;36;14 750 263;116;3 881;8 718;100;222 635;4
31;5;9;17;27;31;14 330 942;197;2 201;13 927;48;261 886;4
32;6;7;9;14;29;13 388 492;25;10 000;5 924;127;167 295;6
33;5;13;14;24;29;16 305 539;37;10 000;6 876;131;192 769;7
34;12;13;29;33;34;14 002 751;30;10 000;3 482;192;125 464;9
35;10;12;16;29;31;13 892 835;19;10 000;4 228;178;142 661;8
36;4;16;22;33;36;13 546 456;18;10 000;4 534;135;154 719;8
37;9;13;29;31;35;13 265 102;21;10 000;4 514;150;157 032;7
38;5;11;17;27;35;13 820 681;111;3 801;13 130;47;258 504;4
39;8;11;19;21;34;14 522 900;91;4 825;8 626;81;208 126;5
40;2;7;8;11;17;14 257 874;25;10 000;4 330;155;152 067;8
41;4;9;16;24;32;13 265 124;124;3 246;10 300;74;206 250;4
42;9;16;21;24;29;14 073 854;50;8 444;8 062;104;212 602;4
43;2;6;7;15;17;13 854 818;31;10 000;5 098;135;179 971;6
44;16;21;22;25;27;15 165 734;6;10 000;2 963;257;132 037;11
45;1;5;21;25;27;14 743 265;24;10 000;4 820;140;161 724;8
46;3;9;22;29;35;11 626 940;77;4 609;6 715;83;166 350;5
47;6;15;17;18;29;16 126 827;35;10 000;8 441;96;251 181;5
48;1;7;8;27;31;15 861 734;36;10 000;5 514;129;186 814;7
49;5;6;12;13;26;15 882 382;28;10 000;6 753;122;212 270;6
50;5;7;25;29;33;20 841 006;24;10 000;7 879;131;253 176;8
51;9;13;17;21;31;17 187 470;299;1 732;20 406;48;360 253;3
52;2;11;21;27;28;18 226 342;58;9 430;9 122;118;277 643;4
53;6;7;15;20;25;21 440 555;61;10 000;8 217;118;272 559;6
