номер тиража;выигрышная комбинация;;;;;вариантов;5 номеров;;4 номера;;3 номера;
;;;;;;;кол-во;сумма;кол-во;сумма;кол-во;сумма
1;1;2;5;8;36;13 121 292;29;10 000;4 572;136;150 433;7
2;10;15;20;23;30;16 091 168;140;3 492;15 384;50;288 896;4
3;6;7;13;19;22;17 403 225;47;10 000;9 477;108;277 936;4
4;1;2;25;28;32;17 883 449;22;10 000;3 111;298;139 531;11
5;1;3;5;8;27;17 940 133;49;10 000;8 809;93;274 597;5
6;2;6;8;13;34;19 079 114;20;10 000;5 266;196;203 580;8
7;8;9;14;22;36;19 924 583;25;10 000;6 701;157;240 041;7
8;10;11;17;19;29;20 259 419;66;9 350;12 401;103;381 495;3
9;8;17;27;29;34;20 462 323;58;10 000;9 300;125;264 465;5
10;2;7;9;15;17;18 229 922;77;7 201;12 327;76;310 786;4
11;19;22;24;25;28;20 071 955;26;10 000;5 047;183;165 872;11
12;8;9;22;31;33;20 133 580;26;10 000;6 254;147;229 702;8
13;2;3;6;11;32;19 300 313;28;10 000;6 341;156;231 713;7
14;11;19;23;26;30;18 079 289;25;10 000;5 599;161;194 769;8
15;7;23;24;28;31;18 945 815;19;10 000;4 465;206;173 186;10
16;6;9;16;20;32;17 519 441;37;10 000;8 766;91;243 173;6
17;3;5;12;16;30;17 567 991;414;1 289;8 028;116;234 018;5
18;12;13;17;22;29;13 376 804;38;10 000;7 182;106;214 531;4
19;2;4;26;33;34;15 211 618;24;10 000;4 213;175;162 578;8
20;1;13;15;28;34;16 603 883;34;10 000;4 758;163;152 465;9
21;6;10;17;30;36;16 082 996;53;9 136;7 238;123;207 588;5
22;13;15;17;28;36;15 046 209;43;10 000;6 239;126;173 339;6
23;10;16;19;34;36;14 405 386;15;10 000;2 280;310;108 609;12
24;4;5;14;27;28;14 254 579;34;10 000;5 909;121;216 385;5
25;1;6;10;19;33;14 124 321;43;9 877;4 964;158;151 603;6
26;1;8;19;28;35;13 460 065;26;10 000;4 551;133;143 946;8
27;3;7;15;24;33;12 957 173;104;3 762;8 442;88;202 333;4
28;8;9;17;19;35;13 250 257;64;6 326;8 033;90;214 924;4
29;4;7;9;28;33;13 373 815;36;10 000;6 105;124;176 957;5
30;4;5;19;28;31;13 401 581;28;10 000;4 637;131;159 785;7
31;3;4;7;17;22;12 985 312;20;10 000;5 358;129;175 675;6
32;5;18;21;28;35;18 050 642;65;9 231;12 883;88;305 955;4
33;3;11;23;28;33;13 752 018;66;6 251;9 490;82;217 998;4
34;1;7;10;22;25;13 608 100;30;10 000;4 976;125;159 682;7
35;3;9;11;13;14;13 248 292;25;10 000;4 946;131;180 742;6
36;8;10;22;32;33;13 151 056;21;10 000;4 335;167;147 868;7
37;9;10;12;13;36;13 285 002;9;10 000;3 155;198;127 734;10
38;12;20;26;30;32;13 423 603;21;10 000;3 729;191;121 098;9
39;8;14;17;32;35;13 382 112;15;10 000;4 164;160;148 864;8
40;2;13;25;27;29;22 901 150;45;10 000;11 425;109;346 491;5
41;4;9;20;22;26;14 466 636;49;8 952;6 510;125;183 510;5
42;6;7;14;20;21;23 080 697;81;9 214;10 212;136;315 374;5
43;2;5;10;25;33;15 392 197;45;10 000;7 422;105;215 809;5
44;6;8;14;17;31;15 090 766;31;10 000;7 012;100;208 322;6
45;17;21;22;31;35;12 577 014;14;10 000;2 923;194;117 782;10
46;12;27;31;35;36;15 619 479;6;10 000;2 313;337;115 555;13
47;12;13;25;27;34;15 795 807;31;10 000;4 312;192;153 550;8
48;5;21;30;31;35;16 237 055;12;10 000;4 738;171;166 944;9
49;7;17;23;34;35;15 664 198;11;10 000;3 669;201;150 216;10
50;18;19;20;30;35;16 638 946;17;10 000;3 227;268;132 531;11
51;3;4;12;17;31;16 172 789;47;10 000;5 493;138;198 853;6
52;6;19;22;27;28;21 601 126;34;10 000;8 098;145;286 502;6
