номер тиража;выигрышная комбинация;;;;;вариантов;5 номеров;;4 номера;;3 номера;
;;;;;;;кол-во;сумма;кол-во;сумма;кол-во;сумма
1;1;4;8;20;32;11 768 154;27;13 075;4 922;107;146 823;6
2;2;18;30;32;35;15 042 725;9;20 000;3 581;209;132 511;10
3;8;21;27;32;35;16 916 418;28;18 124;5 782;154;189 533;6
4;3;13;15;19;28;17 675 028;85;6 238;12 418;68;318 149;4
5;3;11;13;23;34;17 591 867;51;10 348;8 575;93;217 526;6
6;1;6;22;31;34;18 322 835;22;20 000;7 629;128;189 816;7
7;9;11;20;32;33;18 291 560;42;13 065;6 569;133;219 179;6
8;8;12;14;28;34;19 231 424;52;11 095;6 819;148;216 260;6
9;9;16;22;29;31;18 938 931;94;6 044;11 852;90;298 673;4
10;4;10;14;31;33;18 457 123;27;20 000;6 002;162;208 869;6
11;3;11;13;18;32;24 892 541;114;6 550;17 752;72;424 584;4
12;15;16;18;27;28;19 936 422;30;19 936;6 147;164;229 942;6
13;6;10;19;22;31;20 602 614;112;5 519;12 175;83;291 441;5
14;12;14;16;23;24;20 041 770;29;20 000;5 698;165;212 071;7
15;5;16;24;28;30;28 672 799;76;12 110;12 097;132;345 514;6
16;1;6;8;16;31;19 568 740;34;17 270;9 177;102;234 986;6
17;10;15;18;21;34;18 958 831;45;12 641;8 497;122;247 506;5
18;9;11;21;24;32;15 674 737;98;4 800;7 868;97;222 271;5
19;2;4;9;15;30;16 340 698;63;7 784;5 713;131;201 425;6
20;12;20;30;32;35;17 301 116;33;15 744;5 029;160;158 864;8
21;6;9;15;34;36;16 540 656;24;20 000;5 351;168;183 148;6
22;5;9;20;22;25;13 936 587;20;20 000;5 702;133;185 709;5
23;4;11;13;24;31;12 535 197;91;6 248;6 900;126;175 323;8
24;4;6;15;19;23;11 464 653;38;13 731;4 728;168;143 477;9
25;14;20;28;34;35;10 933 973;11;45 845;2 564;302;103 572;12
26;14;16;26;29;34;12 140 954;57;10 013;4 881;199;145 227;9
27;5;24;25;28;33;9 839 130;13;35 484;3 080;243;109 594;10
28;7;9;18;23;26;9 810 823;36;12 957;5 100;146;139 590;8
29;1;14;15;24;36;9 797 944;14;33 612;2 380;328;84 614;13
30;2;10;19;28;36;9 593 054;48;9 712;4 935;160;119 114;9
31;17;21;28;33;34;9 304 667;9;50 948;3 227;213;127 236;9
32;13;16;29;31;36;9 061 465;11;41 093;2 975;243;108 463;10
33;1;23;30;33;34;9 282 199;18;25 728;1 369;530;66 248;17
34;6;10;19;25;29;9 004 518;37;12 141;4 152;163;111 735;10
35;2;12;32;33;36;8 900 318;9;49 356;1 848;388;70 604;15
36;11;18;20;22;26;9 057 594;32;14 130;4 656;158;133 731;8
37;1;17;23;25;33;9 818 432;18;27 234;2 868;280;96 366;12
38;1;15;19;21;23;9 883 825;20;24 683;2 666;304;96 878;12
39;4;8;11;21;25;9 936 905;32;15 513;5 157;169;139 181;8
40;3;10;15;21;30;10 518 291;78;6 738;6 433;144;167 419;7
41;11;12;27;31;36;10 158 839;13;39 057;2 937;294;116 460;10
42;3;6;20;26;28;10 992 042;20;27 473;3 431;246;122 984;11
43;4;8;18;29;34;11 127 820;52;10 698;6 388;138;167 354;8
44;18;19;20;27;30;10 852 345;15;36 171;3 140;280;99 163;13
45;8;10;13;21;31;9 973 549;57;8 748;5 720;136;151 451;8
46;6;11;32;33;34;10 902 818;18;30 285;3 002;301;115 988;11
47;4;16;28;29;34;12 609 040;24;26 268;5 761;188;159 324;9
48;2;3;4;12;31;11 707 041;13;45 027;2 612;339;103 989;14
49;5;6;14;21;28;11 048 961;30;18 414;5 574;152;170 045;8
50;1;9;10;19;23;11 640 430;57;10 210;7 798;131;185 787;7
51;3;12;25;30;32;11 635 796;48;12 120;4 619;214;133 658;10
52;1;11;22;32;34;19 057 347;42;24 115;5 983;254;194 509;13
