номер тиража;выигрышная комбинация;;;;;вариантов;5 номеров;;4 номера;;3 номера;
;;;;;;;кол-во;сумма;кол-во;сумма;кол-во;сумма
1;1;2;6;35;36;2 122 005;19;6 782;2 095;94;44 504;7
2;8;14;19;24;27;2 204 217;7;10 000;1 893;121;60 234;6
3;7;11;14;25;27;2 728 097;15;10 000;2 159;120;68 231;6
4;8;16;20;28;35;2 918 108;58;3 043;4 062;74;79 815;5
5;7;9;10;31;32;3 010 768;15;10 000;1 575;177;59 221;8
6;6;11;15;30;36;2 798 906;30;5 649;2 993;108;86 918;4
7;2;16;18;20;21;3 118 605;17;10 000;2 011;166;71 905;6
8;9;10;11;12;32;3 218 799;8;10 000;2 435;143;67 170;8
9;2;10;12;15;20;3 259 825;10;10 000;2 440;129;80 396;7
10;2;6;18;29;35;3 356 548;10;10 000;1 704;185;59 194;10
11;4;6;7;17;28;2 978 994;4;10 000;2 209;147;75 595;7
12;11;18;25;29;33;3 462 657;11;10 000;2 540;128;75 436;8
13;5;15;26;27;29;4 018 717;10;10 000;3 751;114;112 576;6
14;8;11;14;20;29;3 160 268;23;8 387;2 827;116;86 080;5
15;9;12;19;26;34;3 131 808;18;10 000;3 227;91;77 235;6
16;16;22;26;29;34;3 214 532;9;10 000;2 382;148;74 626;7
17;4;6;7;13;28;2 930 526;8;10 000;3 580;77;74 660;7
18;1;3;s;11;26;2 979 118;13;10 000;2 323;124;79 737;6
19;2;6;10;17;32;2 601 816;6;10 000;3 412;84;86 399;5
20;1;5;20;31;33;2 831 783;8;10 000;1 684;172;60 037;8
21;10;20;23;30;33;2 763 516;40;4 158;3 120;84;67 037;6
22;3;18;20;28;32;2 702 110;16;10 000;2 282;125;60 868;6
24;6;7;16;32;34;2 461 424;10;10 000;1 282;179;45 341;9
25;2;7;27;28;31;2 565 555;10;10 000;1 613;156;52 300;8
26;1;2;11;26;36;4 606 043;28;10 000;3 900;151;120 763;7
27;9;19;27;29;35;2 366 050;20;7 186;3 437;74;78 442;4
28;6;20;21;22;28;2 404 675;7;10 000;1 301;189;57 900;7
29;11;15;20;24;27;2 440 612;17;8 720;2 438;101;67 582;5
30;1;9;13;21;23;2 434 745;22;6 689;2 291;119;62 129;5
31;3;9;19;32;36;2 340 960;8;10 000;1 231;172;45 487;9
32;13;15;18;29;32;2 174 037;17;7 753;1 575;128;45 711;7
33;3;6;9;26;27;2 350 116;10;10 000;1 390;154;55 803;7
34;8;26;28;34;36;2 341 525;1;10 000;1 367;163;49 864;8
35;s;13;18;25;28;2 333 970;19;7 422;2 073;106;56 753;6
36;13;21;23;27;31;2 205 274;12;10 000;1 713;130;52 928;6
37;7;14;17;19;34;2 239 100;18;7 552;2 101;115;59 100;5
38;2;7;9;11;15;2 411 851;31;4 712;2 833;86;83 459;4
39;4;7;13;15;36;2 821 058;4;10 000;1 659;178;63 793;8
40;2;9;11;29;33;2 390 360;19;7 656;2 931;89;77 864;4
41;6;9;14;21;34;2 226 600;15;8 932;1 859;113;53 991;6
42;3;4;16;26;35;2 710 271;14;10 000;2 928;102;74 717;5
43;1;6;7;17;20;2 667 837;11;10 000;2 215;115;73 129;6
44;3;11;17;19;20;2 772 652;8;10 000;1 971;139;68 309;7
45;17;25;27;28;29;2 754 883;4;10 000;1 865;145;57 265;9
46;10;16;18;21;30;2 481 365;14;10 000;2 999;87;85 379;4
47;8;14;18;24;26;2 754 461;20;8 336;1 938;135;66 828;6
48;10;11;22;25;34;3 040 755;14;10 000;2 105;158;73 200;6
49;14;16;18;21;35;3 100 649;7;10 000;2 673;120;77 224;7
so;6;9;15;30;33;3 396 848;26;7 879;3 636;87;99 711;5
51;4;14;15;33;35;3 771 443;6;10 000;1 714;206;65 285;11
52;17;24;27;28;36;5 256 176;6;10 000;3 346;173;133 955;7
