номер тиража;выигрышная комбинация;;;;;вариантов;5 номеров;;4 номера;;3 номера;
;;;;;;;кол-во;сумма;кол-во;сумма;кол-во;сумма
1;3;5;6;11;24;3 653 849;11;10 000;2 144;154;81 936;8
2;10;15;22;27;36;2 843 629;13;10 000;3 221;96;82 624;5
3;3;4;17;26;35;4 075 024;21;10 000;4 598;96;95 046;6
4;1;11;16;17;22;4 209 820;13;10 000;1 944;208;81 147;9
5;9;10;20;24;27;4 314 098;26;9 992;4 000;100;127 091;5
6;7;14;26;29;30;4 238 605;16;10 000;3 465;127;111 393;6
7;1;13;14;26;36;4 408 801;14;10 000;1 927;234;66 737;11
8;10;15;16;25;30;4 515 654;27;10 000;4 704;99;123 168;5
9;10;16;19;24;30;4 225 574;19;10 000;2 513;161;84 509;8
10;9;12;24;25;27;3 672 606;13;10 000;2 512;149;85 398;7
11;1;6;13;17;30;2 764 111;11;10 000;1 716;153;57 048;8
12;3;5;11;23;34;3 334 618;26;7 855;4 325;78;114 938;4
13;6;19;26;32;33;3 748 518;5;10 000;1 709;215;64 244;11
14;2;11;21;30;31;2 524 257;48;3 178;3 611;63;94 486;4
15;3;6;7;12;26;2 882 213;26;6 657;1 474;184;60 058;7
16;2;12;17;24;28;2 994 320;7;10 000;1 930;148;67 766;8
17;6;7;13;25;28;2 788 965;7;10 000;3 278;87;68 545;7
18;19;27;28;31;35;2 687 763;3;10 000;993;271;46 306;11
19;1;3;6;19;27;2 462 766;9;10 000;1 622;137;53 259;8
20;2;5;20;21;23;2 989 422;22;8 202;3 097;88;88 894;5
21;2;14;18;22;24;3 271 673;14;10 000;2 352;129;76 543;7
22;8;11;13;17;30;3 218 343;15;10 000;3 589;83;103 840;5
23;4;8;21;31;33;3 167 374;18;10 000;2 673;113;78 042;6
24;8;12;17;18;31;3 126 959;2;10 000;1 264;250;50 187;12
25;7;18;25;28;30;3 287 633;13;10 000;2 706;132;83 235;6
26;2;3;16;23;24;5 696 740;23;10 000;3 756;192;145 346;9
27;2;9;27;28;35;3 067 642;19;9 726;2 959;101;87 793;5
28;4;19;24;29;31;3 020 611;11;10 000;1 898;150;63 843;8
29;5;6;9;13;30;3 116 666;14;10 000;2 747;121;92 352;5
30;9;14;19;31;33;3 177 644;7;10 000;1 868;166;57 424;10
31;9;19;25;29;35;3 075 805;16;10 000;1 982;145;52 726;9
32;6;9;13;18;32;2 876 651;22;7 866;2 699;117;75 106;5
33;2;9;13;19;36;3 086 168;11;10 000;2 206;148;69 801;7
34;1;4;15;18;24;3 083 956;12;10 000;2 231;133;72 657;7
35;1;7;14;29;30;3 058 311;15;10 000;2 902;112;63 295;7
36;1;5;7;21;28;2 958 103;13;10 000;2 459;122;75 838;6
37;17;27;29;30;31;2 955 353;7;10 000;1 693;162;68 067;8
38;12;17;28;29;33;3 159 509;9;10 000;1 669;203;64 890;8
39;6;20;22;29;36;3 630 049;17;10 000;2 344;168;87 358;6
40;4;8;16;20;29;3 201 798;64;3 010;5 140;61;91 118;5
41;6;8;11;13;14;3 013 492;7;10 000;1 643;172;61 167;9
42;11;19;22;25;26;3 351 237;5;10 000;2 102;172;74 199;8
43;5;6;15;16;29;3 338 468;26;7 750;2 521;150;84 613;5
44;14;20;28;30;32;3 430 418;8;10 000;2 029;166;76 522;8
45;3;9;15;24;36;3 234 069;33;5 934;3 513;109;97 907;4
46;5;11;21;27;28;2 701 936;38;4 297;3 144;77;81 040;5
47;5;8;13;24;29;3 507 630;16;10 000;2 654;127;79 240;7
48;16;18;28;31;35;3 496 322;14;10 000;2 184;170;76 776;7
49;1;2;8;13;28;3 462 808;7;10 000;1 912;182;68 963;9
50;1;7;11;22;35;3 638 619;18;10 000;2 791;118;82 942;7
51;3;6;14;17;22;3 948 273;40;5 975;4 715;98;121 454;4
52;10;12;16;20;36;4 187 210;23;10 000;3 672;124;113 574;5
53;21;24;25;31;34;6 365 971;18;10 000;3 540;170;125 491;9
